Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Denominator,Score,Start_Date,End_Date
10001,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,27,3.2,4/1/21,3/31/24
10001,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,1835,4.5,7/1/23,6/30/24
10001,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,270,11.4,7/1/21,6/30/24
10001,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,144,3,7/1/21,6/30/24
10001,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,112,9.4,7/1/21,6/30/24
10001,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,583,10.2,7/1/21,6/30/24
10001,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,517,18.4,7/1/21,6/30/24
10001,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,395,13.5,7/1/21,6/30/24
10001,PSI_03,Pressure ulcer rate,No Different Than the National Rate,6114,0.13,7/1/22,6/30/24
10001,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,118,203,7/1/22,6/30/24
10001,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,7558,0.13,7/1/22,6/30/24
10001,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,7649,0.34,7/1/22,6/30/24
10001,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,1747,2.75,7/1/22,6/30/24
10001,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,648,1.32,7/1/22,6/30/24
10001,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,665,10.66,7/1/22,6/30/24
10001,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,1873,4.4,7/1/22,6/30/24
10001,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,665,5.4,7/1/22,6/30/24
