Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Score,Number_Patients,Number_Patients_Returned,Start_Date,End_Date
10001,EDAC_30_AMI,Hospital return days for heart attack patients,Fewer Days Than Average per 100 Discharges,-15.6,264,68,7/1/21,6/30/24
10001,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,-1.1,541,186,7/1/21,6/30/24
10001,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,17.4,471,114,7/1/21,6/30/24
10001,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,15.1,Not Applicable,Not Applicable,7/1/23,6/30/24
10001,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,12.8,Not Applicable,Not Applicable,1/1/21,12/31/23
10001,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,8.5,Not Applicable,Not Applicable,1/1/23,12/31/23
10001,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,5.7,Not Applicable,Not Applicable,1/1/23,12/31/23
10001,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,0.8,Not Applicable,Not Applicable,1/1/23,12/31/23
10001,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,13,Not Applicable,Not Applicable,7/1/21,6/30/24
10001,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,10.1,Not Applicable,Not Applicable,7/1/21,6/30/24
10001,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18,Not Applicable,Not Applicable,7/1/21,6/30/24
10001,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,20.1,Not Applicable,Not Applicable,7/1/21,6/30/24
10001,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,4.8,Not Applicable,Not Applicable,7/1/21,6/30/24
10001,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,16,Not Applicable,Not Applicable,7/1/21,6/30/24
10005,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,7/1/21,6/30/24
10005,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,12.2,147,49,7/1/21,6/30/24
10005,EDAC_30_PN,Hospital return days for pneumonia patients,Fewer Days Than Average per 100 Discharges,-17.2,257,58,7/1/21,6/30/24
10005,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,13.3,Not Applicable,Not Applicable,7/1/23,6/30/24
10005,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,14.2,Not Applicable,Not Applicable,1/1/21,12/31/23
10005,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,8.6,Not Applicable,Not Applicable,1/1/23,12/31/23
10005,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,6.2,Not Applicable,Not Applicable,1/1/23,12/31/23
10005,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1,Not Applicable,Not Applicable,1/1/23,12/31/23
10005,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
10005,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
10005,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,17.1,Not Applicable,Not Applicable,7/1/21,6/30/24
10005,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,19.8,Not Applicable,Not Applicable,7/1/21,6/30/24
10005,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,4.2,Not Applicable,Not Applicable,7/1/21,6/30/24
10005,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,13.9,Not Applicable,Not Applicable,7/1/21,6/30/24
10006,EDAC_30_AMI,Hospital return days for heart attack patients,Fewer Days Than Average per 100 Discharges,-18,271,58,7/1/21,6/30/24
10006,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,-4.7,377,112,7/1/21,6/30/24
10006,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,-0.9,606,153,7/1/21,6/30/24
10006,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,15.9,Not Applicable,Not Applicable,7/1/23,6/30/24
10006,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,11.6,Not Applicable,Not Applicable,1/1/21,12/31/23
10006,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
10006,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
10006,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1,Not Applicable,Not Applicable,1/1/23,12/31/23
